name,accident_loc,types_str
Saeed Al-Darmaki Mosque,شارع هزاع بن زايد الأول(11),mosque_place_of_worship_point_of_interest_establishment
مسجد,شارع هزاع بن زايد الأول(11),mosque_place_of_worship_point_of_interest_establishment
مسجد,شارع هزاع بن زايد الأول(11),mosque_place_of_worship_point_of_interest_establishment
Santa Fe Relocation,شارع هزاع بن زايد الأول(11),moving_company_storage_point_of_interest_establishment
Uber movers packers & junk removers services,شارع هزاع بن زايد الأول(11),moving_company_storage_point_of_interest_establishment
Spring Fields Nurseries,شارع هزاع بن زايد الأول(11),primary_school_school_point_of_interest_establishment
Al Zaeem Real Estate,شارع هزاع بن زايد الأول(11),real_estate_agency_point_of_interest_establishment
Advance Al Mushir Real Estate Management,شارع هزاع بن زايد الأول(11),real_estate_agency_point_of_interest_establishment
قناص الجزيرة لادارة العقارات والصيانه العامة,شارع هزاع بن زايد الأول(11),real_estate_agency_point_of_interest_establishment
ZMS Property Management,شارع هزاع بن زايد الأول(11),finance_real_estate_agency_point_of_interest_establishment
Bait Yaffa Restaurant - مطعم بيت يافا للمأكولات الأردنية و الفلسطينية,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Chilly Choice Restaurant,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Just Pasta Restaurant,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Bosnian Hut Restaurant,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Addicted Restaurant,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
بيت القرش,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
"Behind Shining Tower,Khalidiyah",شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
The Rose,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Top scissors saloon,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
المطبخ السعودي اكسبريس - Saudi Cuisine Express,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Walayem,شارع هزاع بن زايد الأول(11),meal_delivery_bakery_cafe_restaurant_food_point_of_interest_store_establishment
مرطبات قصر الصحراء,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Desert Palace Refreshment,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Tiffin and More Restaurant LLC,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
سليسد بيتزا | Sliced Pizza‎,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Zahrat Lebnan Al Shahama,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Saudi Kitchen express,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
LENTO,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
LET’S CIRCLE IT RESTAURANT,شارع هزاع بن زايد الأول(11),restaurant_food_point_of_interest_establishment
Yolo Emirates Academy,شارع هزاع بن زايد الأول(11),school_point_of_interest_establishment
Islamic English School in Abu Dhabi,شارع هزاع بن زايد الأول(11),school_point_of_interest_establishment
Emaar International School,شارع هزاع بن زايد الأول(11),school_point_of_interest_establishment
Spring Fields Nurseries,شارع هزاع بن زايد الأول(11),primary_school_school_point_of_interest_establishment
الريادة بالاس للسيراميك والرخام,شارع هزاع بن زايد الأول(11),shopping_mall_point_of_interest_establishment
أبو فاطمة,شارع هزاع بن زايد الأول(11),shopping_mall_point_of_interest_establishment
DESCO Copy & Print Center,شارع هزاع بن زايد الأول(11),point_of_interest_store_establishment
Aroosi Iqbal Couture,شارع هزاع بن زايد الأول(11),clothing_store_point_of_interest_store_establishment
Advance Care Medical Equipment,شارع هزاع بن زايد الأول(11),shoe_store_hospital_health_point_of_interest_store_establishment
"AL TELAL GENTS FASHION LLC, متجر كندورة في أبو ظبي",شارع هزاع بن زايد الأول(11),point_of_interest_clothing_store_store_establishment
MISTER BALLOON,شارع هزاع بن زايد الأول(11),home_goods_store_food_point_of_interest_store_establishment
Scuba Marine Marine Equipment,شارع هزاع بن زايد الأول(11),point_of_interest_store_establishment
Verla RG Sweets,شارع هزاع بن زايد الأول(11),electronics_store_food_point_of_interest_store_establishment
African + Eastern - Salam,شارع هزاع بن زايد الأول(11),liquor_store_food_point_of_interest_store_establishment
UniQue Studio & Typing,شارع هزاع بن زايد الأول(11),point_of_interest_store_establishment
Bin Abdul Latif Trading Co - BALTCO,شارع هزاع بن زايد الأول(11),point_of_interest_store_establishment
Viola Flowers AbuDhabi,شارع هزاع بن زايد الأول(11),florist_point_of_interest_store_establishment
Fruit Fantasy,شارع هزاع بن زايد الأول(11),store_point_of_interest_establishment
Patchouli Boutique,شارع هزاع بن زايد الأول(11),clothing_store_point_of_interest_store_establishment
TOP ONE NUTRITION,شارع هزاع بن زايد الأول(11),food_point_of_interest_store_establishment
Interlight,شارع هزاع بن زايد الأول(11),home_goods_store_general_contractor_point_of_interest_store_establishment
Dar Optics,شارع هزاع بن زايد الأول(11),health_point_of_interest_store_establishment
Al Bait Al Espani Building Materials Trading,شارع هزاع بن زايد الأول(11),point_of_interest_store_establishment
Ecru Gifts & Flowers,شارع هزاع بن زايد الأول(11),florist_point_of_interest_store_establishment
Bin Huwerib Group,شارع هزاع بن زايد الأول(11),supermarket_grocery_or_supermarket_food_point_of_interest_store_establishment
Al Naboodah Travel & Tourism Agencies LLC,شارع هزاع بن زايد الأول(11),travel_agency_point_of_interest_establishment
Sky Zone Travel LLC,شارع هزاع بن زايد الأول(11),travel_agency_point_of_interest_establishment
Pure Life Veterinary Treatment,شارع هزاع بن زايد الأول(11),veterinary_care_health_point_of_interest_store_establishment
ADCB,شارع 33,bank_atm_finance_point_of_interest_establishment
ADCB,شارع 33,bank_atm_finance_point_of_interest_establishment
Abu Dhabi Islamic Bank (ADIB),شارع 33,bank_finance_point_of_interest_establishment
"ADCB, Abu Dhabi Exhibtion Center (ADNEC) Branch",شارع 33,bank_finance_point_of_interest_establishment
Maї Café,شارع 33,bar_cafe_restaurant_food_point_of_interest_establishment
c.mondo,شارع 33,bar_point_of_interest_establishment
Relax@12,شارع 33,night_club_bar_restaurant_food_point_of_interest_establishment
Aquarius Pool Bar,شارع 33,bar_point_of_interest_establishment
The Warehouse Wine & Tapas Bar,شارع 33,bar_restaurant_food_point_of_interest_establishment
W xyz bar,شارع 33,bar_restaurant_food_point_of_interest_establishment
La dolce vita Beauty Lounge,شارع 33,beauty_salon_point_of_interest_establishment
Maї Café,شارع 33,bar_cafe_restaurant_food_point_of_interest_establishment
Cups and Mills Cafe,شارع 33,cafe_restaurant_food_point_of_interest_store_establishment
Starbucks,شارع 33,cafe_food_point_of_interest_store_establishment
Costa Coffee,شارع 33,cafe_food_point_of_interest_store_establishment
c.deli,شارع 33,cafe_food_point_of_interest_establishment
Costa Coffee - Daman Health,شارع 33,cafe_restaurant_food_point_of_interest_store_establishment
SAM'S BOX,شارع 33,cafe_restaurant_food_point_of_interest_establishment
SLA Cafe,شارع 33,cafe_restaurant_food_point_of_interest_establishment
بالمز كافيه,شارع 33,cafe_food_point_of_interest_store_establishment
Cafteaia Town Cube,شارع 33,cafe_food_point_of_interest_store_establishment
Palms Cafe,شارع 33,cafe_food_point_of_interest_store_establishment
Starbucks,شارع 33,cafe_food_point_of_interest_establishment
Aroma Lobby Lounge,شارع 33,cafe_food_point_of_interest_establishment
Abu Dhabi Judicial Department,شارع 33,courthouse_point_of_interest_establishment
Abu Dhabi Judicial Department ( Abu Dhabi Court of First Instance & Abu Dhabi Appeal Court ),شارع 33,courthouse_point_of_interest_establishment
Remand Abu Dhabi courts,شارع 33,courthouse_point_of_interest_establishment
International Center for Dental Excellence,شارع 33,dentist_doctor_health_point_of_interest_establishment
LuLu Xpress - Y Tower,شارع 33,supermarket_department_store_grocery_or_supermarket_food_point_of_interest_store_establishment
International Center for Dental Excellence,شارع 33,dentist_doctor_health_point_of_interest_establishment
New Zealand Embassy Abu Dhabi,شارع 33,embassy_point_of_interest_establishment
Embassy of Switzerland,شارع 33,embassy_point_of_interest_establishment
Somalia Embassy,شارع 33,embassy_point_of_interest_establishment
Embassy of the Kingdom of the Netherlands,شارع 33,embassy_point_of_interest_establishment
Embassy of Iraq,شارع 33,embassy_point_of_interest_establishment
Smart Design LLC,شارع 33,furniture_store_home_goods_store_storage_general_contractor_point_of_interest_store_establishment
Lifeline Wellness,شارع 33,gym_health_point_of_interest_establishment
Bodylines Fitness & Wellness Club,شارع 33,spa_gym_health_point_of_interest_establishment
PELO LOCO GENTS SALON ABU DHABI,شارع 33,hair_care_point_of_interest_establishment
Chelsea Man Spa By Mustafa Mens Hair Stylist,شارع 33,hair_care_health_point_of_interest_establishment
Smart Design LLC,شارع 33,furniture_store_home_goods_store_storage_general_contractor_point_of_interest_store_establishment
National Health Insurance Company - Daman,شارع 33,insurance_agency_health_point_of_interest_establishment
Methaq Takaful Insurance Company,شارع 33,insurance_agency_point_of_interest_establishment
Dryholic Laundry,شارع 33,laundry_point_of_interest_establishment
Load out laundry,شارع 33,laundry_point_of_interest_establishment
مكتب علي المنصوري للمحاماة والاستشارات القانونية ابوظبي,شارع 33,lawyer_point_of_interest_establishment
مكتبة الإمارات UAE library,شارع 33,library_point_of_interest_establishment
High Spirits Head Office,شارع 33,liquor_store_point_of_interest_store_establishment
مركز إدارة الطوارئ والأزمات والكوارث لإمارة أبوظبي,شارع 33,local_government_office_point_of_interest_establishment
Centro Capital Centre,شارع 33,lodging_point_of_interest_establishment
Premier Inn Abu Dhabi Capital Centre Hotel,شارع 33,lodging_point_of_interest_establishment
Abu Dhabi National Hotels,شارع 33,lodging_point_of_interest_establishment
Capital Centre Arjaan by Rotana,شارع 33,lodging_point_of_interest_establishment
Pearl Rotana Capital Centre,شارع 33,lodging_point_of_interest_establishment
الهلال الاحمر ( الامانه العامه ),شارع 33,lodging_point_of_interest_establishment
ADNH Compass,شارع 33,lodging_point_of_interest_establishment
فندق كابيتال سنتر ابو ظبي الموظف اندروا,شارع 33,lodging_point_of_interest_establishment
Department of Health Mosque,شارع 33,mosque_place_of_worship_point_of_interest_establishment
Relax@12,شارع 33,night_club_bar_restaurant_food_point_of_interest_establishment
Club So-Hi,شارع 33,night_club_point_of_interest_establishment
Mawaqif parking,شارع 33,parking_point_of_interest_establishment
Al Manara Pharmacy - AD1 ; AD1 صيدلية المنارة فرع,شارع 33,pharmacy_health_point_of_interest_store_establishment
"Medicina Pharmacy - Capital House, Abu Dhabi",شارع 33,pharmacy_health_point_of_interest_store_establishment
Al Rowdah Police Station,شارع 33,police_point_of_interest_establishment
Afhad Holding LLC,شارع 33,real_estate_agency_point_of_interest_establishment
Maї Café,شارع 33,bar_cafe_restaurant_food_point_of_interest_establishment
Cups and Mills Cafe,شارع 33,cafe_restaurant_food_point_of_interest_store_establishment
c.taste,شارع 33,restaurant_food_point_of_interest_establishment
Relax@12,شارع 33,night_club_bar_restaurant_food_point_of_interest_establishment
Fresh & Light restaurant TM,شارع 33,restaurant_food_point_of_interest_establishment
Kurakura Restaurant,شارع 33,restaurant_food_point_of_interest_establishment
Broccoli pizza and pasta capital house,شارع 33,restaurant_food_point_of_interest_establishment
The Cheese Shawerma,شارع 33,restaurant_food_point_of_interest_establishment
Costa Coffee - Daman Health,شارع 33,cafe_restaurant_food_point_of_interest_store_establishment
SAM'S BOX,شارع 33,cafe_restaurant_food_point_of_interest_establishment
SLA Cafe,شارع 33,cafe_restaurant_food_point_of_interest_establishment
Broccoli Pizza & Pasta,شارع 33,restaurant_food_point_of_interest_establishment
Belgrave Abu Dahbi,شارع 33,restaurant_food_point_of_interest_establishment
Villa Mamas Abu Dhabi,شارع 33,restaurant_food_point_of_interest_establishment
Nuevo & Lounge 1,شارع 33,restaurant_food_point_of_interest_establishment
The Breakfast Barn,شارع 33,restaurant_food_point_of_interest_establishment
Saffron,شارع 33,restaurant_food_point_of_interest_establishment
Dino's Bistro Italiano,شارع 33,restaurant_food_point_of_interest_establishment
The Warehouse Wine & Tapas Bar,شارع 33,bar_restaurant_food_point_of_interest_establishment
Al Manara Pharmacy - AD1 ; AD1 صيدلية المنارة فرع,شارع 33,pharmacy_health_point_of_interest_store_establishment
Smart Design LLC,شارع 33,furniture_store_home_goods_store_storage_general_contractor_point_of_interest_store_establishment
Cups and Mills Cafe,شارع 33,cafe_restaurant_food_point_of_interest_store_establishment
"Medicina Pharmacy - Capital House, Abu Dhabi",شارع 33,pharmacy_health_point_of_interest_store_establishment
Remedex LLC,شارع 33,health_point_of_interest_store_establishment
Starbucks,شارع 33,cafe_food_point_of_interest_store_establishment
ZOOM,شارع 33,supermarket_grocery_or_supermarket_food_point_of_interest_store_establishment
Costa Coffee,شارع 33,cafe_food_point_of_interest_store_establishment
Costa Coffee - Daman Health,شارع 33,cafe_restaurant_food_point_of_interest_store_establishment
بالمز كافيه,شارع 33,cafe_food_point_of_interest_store_establishment
Cafteaia Town Cube,شارع 33,cafe_food_point_of_interest_store_establishment
High Spirits Head Office,شارع 33,liquor_store_point_of_interest_store_establishment
LuLu Xpress - Y Tower,شارع 33,supermarket_department_store_grocery_or_supermarket_food_point_of_interest_store_establishment
Palms Cafe,شارع 33,cafe_food_point_of_interest_store_establishment
RHDHV Office,شارع 33,store_point_of_interest_establishment
ZOOM,شارع 33,supermarket_grocery_or_supermarket_food_point_of_interest_store_establishment
LuLu Xpress - Y Tower,شارع 33,supermarket_department_store_grocery_or_supermarket_food_point_of_interest_store_establishment
Cham wings airline - office,شارع 33,travel_agency_point_of_interest_establishment
Nawal Al Juniebi Auditing,IP4 تقاطع زايد الأول - شارع 26,accounting_finance_point_of_interest_establishment
Planners Tax UAE,IP4 تقاطع زايد الأول - شارع 26,accounting_finance_point_of_interest_establishment
HEB Chartered Accountants,IP4 تقاطع زايد الأول - شارع 26,accounting_finance_point_of_interest_establishment
Tanseeq Accounting Services & Solutions - تنسيق للخدمات والحلول المحاسبية,IP4 تقاطع زايد الأول - شارع 26,accounting_finance_point_of_interest_establishment
Emirates Zone – Business Setup & Company Formation Consultants – Abu Dhabi Br.,IP4 تقاطع زايد الأول - شارع 26,accounting_finance_travel_agency_point_of_interest_establishment
"ADCB ATM, Al Hosn Branch",IP4 تقاطع زايد الأول - شارع 26,atm_finance_point_of_interest_establishment
Abu Dhabi Islamic Bank (ADIB),IP4 تقاطع زايد الأول - شارع 26,atm_finance_point_of_interest_establishment
Abu Dhabi Islamic Bank (ADIB),IP4 تقاطع زايد الأول - شارع 26,atm_finance_point_of_interest_establishment
Emirates NBD ATM,IP4 تقاطع زايد الأول - شارع 26,atm_finance_point_of_interest_establishment
Arlequin Catering,IP4 تقاطع زايد الأول - شارع 26,meal_delivery_bakery_food_point_of_interest_store_establishment
Camel Cookies,IP4 تقاطع زايد الأول - شارع 26,bakery_cafe_food_point_of_interest_store_establishment
Mister Baker,IP4 تقاطع زايد الأول - شارع 26,bakery_food_point_of_interest_store_establishment
Cake Gallery Khalidiya,IP4 تقاطع زايد الأول - شارع 26,bakery_food_point_of_interest_store_establishment
مخبز تنور القمة,IP4 تقاطع زايد الأول - شارع 26,bakery_food_point_of_interest_store_establishment
Makhbaz Tanoor Al Qummah,IP4 تقاطع زايد الأول - شارع 26,bakery_food_point_of_interest_store_establishment
AlBadri Bakery & Sweets,IP4 تقاطع زايد الأول - شارع 26,bakery_food_point_of_interest_store_establishment
Lebanon Flower Bakery,IP4 تقاطع زايد الأول - شارع 26,bakery_food_point_of_interest_store_establishment
Khafayef pastry,IP4 تقاطع زايد الأول - شارع 26,bakery_food_point_of_interest_store_establishment
مخبز الزعفران,IP4 تقاطع زايد الأول - شارع 26,bakery_food_point_of_interest_store_establishment
Al Sultan Bakeries and Markets,IP4 تقاطع زايد الأول - شارع 26,bakery_food_point_of_interest_store_establishment
Century Bakery,IP4 تقاطع زايد الأول - شارع 26,bakery_food_point_of_interest_store_establishment
